winner,matchup
Duke,"{'team_a': 'Duke', 'team_b': ""St John's"", 'team_a_seed': 1, 'team_b_seed': 5, 'round': 3}"
Connecticut,"{'team_a': 'Michigan St', 'team_b': 'Connecticut', 'team_a_seed': 3, 'team_b_seed': 2, 'round': 3}"
Nebraska,"{'team_a': 'Iowa', 'team_b': 'Nebraska', 'team_a_seed': 9, 'team_b_seed': 4, 'round': 3}"
Houston,"{'team_a': 'Illinois', 'team_b': 'Houston', 'team_a_seed': 3, 'team_b_seed': 2, 'round': 3}"
Arizona,"{'team_a': 'Arizona', 'team_b': 'Arkansas', 'team_a_seed': 1, 'team_b_seed': 4, 'round': 3}"
Purdue,"{'team_a': 'Texas', 'team_b': 'Purdue', 'team_a_seed': 11, 'team_b_seed': 2, 'round': 3}"
Michigan,"{'team_a': 'Michigan', 'team_b': 'Alabama', 'team_a_seed': 1, 'team_b_seed': 4, 'round': 3}"
Tennessee,"{'team_a': 'Tennessee', 'team_b': 'Iowa St', 'team_a_seed': 6, 'team_b_seed': 2, 'round': 3}"
Duke,"{'team_a': 'Duke', 'team_b': 'Connecticut', 'team_a_seed': 1, 'team_b_seed': 2, 'round': 2}"
Houston,"{'team_a': 'Nebraska', 'team_b': 'Houston', 'team_a_seed': 4, 'team_b_seed': 2, 'round': 2}"
Arizona,"{'team_a': 'Arizona', 'team_b': 'Purdue', 'team_a_seed': 1, 'team_b_seed': 2, 'round': 2}"
Michigan,"{'team_a': 'Michigan', 'team_b': 'Tennessee', 'team_a_seed': 1, 'team_b_seed': 6, 'round': 2}"
Duke,"{'team_a': 'Duke', 'team_b': 'Houston', 'team_a_seed': 1, 'team_b_seed': 2, 'round': 3}"
Michigan,"{'team_a': 'Arizona', 'team_b': 'Michigan', 'team_a_seed': 1, 'team_b_seed': 1, 'round': 3}"
Duke,"{'team_a': 'Duke', 'team_b': 'Michigan', 'team_a_seed': 1, 'team_b_seed': 1, 'round': 4}"
Duke,"{'team_a': 'Duke', 'team_b': 'Michigan', 'team_a_seed': 1, 'team_b_seed': 1, 'round': 4}"
